,Address,Longitude,Latitude,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE
2708,"dresden ,ON, Canada",-82.1795314,42.5909853,3536020,Chatham-Kent,MU,35,Ontario,3536,Chatham-Kent,CDR,3536020,Chatham-Kent,3570,Windsor--Sarnia,556,3,556,35556,Chatham-Kent,D
2708,"bothwell ,ON, Canada",-81.8707447,42.6309355,3536020,Chatham-Kent,MU,35,Ontario,3536,Chatham-Kent,CDR,3536020,Chatham-Kent,3570,Windsor--Sarnia,556,3,556,35556,Chatham-Kent,D
2401,"leamington ,ON, Canada",-82.5996998,42.0531166,3537003,Leamington,MU,35,Ontario,3537,Essex,CTY,3537003,Leamington,3570,Windsor--Sarnia,557,3,557,35557,Leamington,D
2660,"listowel ,ON, Canada",-80.952882,43.731593,3531040,North Perth,MU,35,Ontario,3531,Perth,CTY,3531040,North Perth,3580,Stratford--Bruce Peninsula,997,5,,,,
2019,"geraldton ,ON, Canada",-86.9493168,49.7188752,3558075,Greenstone,MU,35,Ontario,3558,Thunder Bay,DIS,3558090,"Thunder Bay, Unorganized",3595,Northwest / Nord-ouest,998,6,,,,
2640,"lucknow ,ON, Canada",-81.5172512,43.961848,3541015,Huron-Kinloss,TP,35,Ontario,3541,Bruce,CTY,3541015,Huron-Kinloss,3580,Stratford--Bruce Peninsula,998,6,,,,
2429,"manitoulin island ,ON, Canada",-82.21460502,45.7563115,3551006,Central Manitoulin,MU,35,Ontario,3551,Manitoulin,DIS,3551017,Northeastern Manitoulin and the Islands,3590,Northeast / Nord-est,998,6,,,,
2510,"gore bay ,ON, Canada",-82.4640868,45.9167876,3551026,Gore Bay,T,35,Ontario,3551,Manitoulin,DIS,3551027,Gordon/Barrie Island,3590,Northeast / Nord-est,998,6,,,,
2161,"manitouwadge ,ON, Canada",-85.8384058,49.121541,3558066,Manitouwadge,TP,35,Ontario,3558,Thunder Bay,DIS,3558090,"Thunder Bay, Unorganized",3595,Northwest / Nord-ouest,998,6,,,,
2140,"manotick ,ON, Canada",-75.6860593,45.2264407,3506008,Ottawa,CV,35,Ontario,3506,Ottawa,CDR,3506008,Ottawa,3510,Ottawa,505,1,505,35505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B
2683,"stratford ,ON, Canada",-80.9818016,43.3700899,3531011,Stratford,CY,35,Ontario,3531,Perth,CTY,3531013,Perth South,3580,Stratford--Bruce Peninsula,553,3,553,35553,Stratford,D
2380,"mattawa ,ON, Canada",-78.703308,46.317296,3548021,Mattawa,T,35,Ontario,3548,Nipissing,DIS,3548094,"Nipissing, Unorganized, North Part",3590,Northeast / Nord-est,997,5,,,,
2532,"meaford ,ON, Canada",-80.5916531,44.6069298,3542047,Meaford,MU,35,Ontario,3542,Grey,CTY,3542047,Meaford,3580,Stratford--Bruce Peninsula,996,4,,,,
2154,"marathon ,ON, Canada",-86.371598,48.7209349,3558059,Marathon,T,35,Ontario,3558,Thunder Bay,DIS,3558090,"Thunder Bay, Unorganized",3595,Northwest / Nord-ouest,998,6,,,,
2613,"lucan ,ON, Canada",-81.4031356,43.1878148,3539060,Lucan Biddulph,TP,35,Ontario,3539,Middlesex,CTY,3539060,Lucan Biddulph,3560,London,996,4,,,,
2634,"ailsa craig ,ON, Canada",-81.5336236,43.1471072,3539041,North Middlesex,MU,35,Ontario,3539,Middlesex,CTY,3539041,North Middlesex,3560,London,996,4,,,,
2632,"ilderton ,ON, Canada",-81.3751432,43.0812001,3539033,Middlesex Centre,MU,35,Ontario,3539,Middlesex,CTY,3539033,Middlesex Centre,3560,London,555,1,555,35555,London,B
2387,"midland ,ON, Canada",-79.885712,44.750147,3543074,Midland,T,35,Ontario,3543,Simcoe,CTY,3543071,Tay,3540,Kitchener--Waterloo--Barrie,571,3,571,35571,Midland,D
2386," penetanguishene ,ON, Canada",-79.9339487,44.7688035,3543072,Penetanguishene,T,35,Ontario,3543,Simcoe,CTY,3543071,Tay,3540,Kitchener--Waterloo--Barrie,571,3,571,35571,Midland,D
2143,"millbrook ,ON, Canada",-78.4475977,44.1511443,3515013,Cavan Monaghan,TP,35,Ontario,3515,Peterborough,CTY,3515013,Cavan Monaghan,3520,Muskoka--Kawarthas,529,1,529,35529,Peterborough,B
2425,"minden ,ON, Canada",-78.72493,44.9254436,3546015,Minden Hills,TP,35,Ontario,3546,Haliburton,CTY,3546015,Minden Hills,3520,Muskoka--Kawarthas,997,5,,,,
